Card   1: 66 90 67 76 55 13 91 31 95  4 | 82 98 69  8 15  2 32 24 99 56 46 65 60 72 58 68 54 22 26  5 74 25 84 73 61
Card   2: 94 57 54 45  9 78 71 35 48 44 |  9 56 28 57 55 95 32 48 76 47 94 35 78 91 54 49 38 30 17 63 71  8 16 45 44
Card   3: 44 10 67 65 62 43 47 13 26 95 | 67 55 65 68 26 77 41 43 94 13 62 27 66 81 29 10 69 95 31 47 70 72 44 23 17
Card   4: 47 48 14 30 64 31 81 22 65 60 | 85 23 47 19 60 31 32 68 64 33 14 22 65 48 67 72 87 46 92 83 54 81 66 91 30
Card   5: 43 66 44 76 67 27 52 26 83 39 | 37 83 99 29 48 60 62  2 31 27  4 65 84 89 45 95 78 21 47 44 76 34 96 30 74
Card   6: 38 34 59 52 10 14 57 98 73 90 | 77 32 21 16 15 57 30 97 43 47 91 39 92 42 87 69 82 35 68 60 78 37 46 50  9
Card   7: 94 57 27 45 70 34 83 30 51 17 | 89 30 44 29 17 41 70 87 83 45 51 60 27 48 33 43 88 34 67 54 64 94 85 57 26
Card   8: 64 82 99 10 20 76 25 78 83 48 | 66 62 98 32 48  2 79 97 65 70 89 56 37 44 45 21 75 93 41  9  3 61 92 19 81
Card   9: 93 49 20 77 14 86 89 28 54 82 | 61 67 64 46 28 89 82 25 49  5 92 37  4 41 15 83 44  6 60 36 77 12 68 50 71
Card  10: 50 76 67 32 84 46 54 30 42 74 | 42 82 85  2 74 67 23 48 96 30 73 79 38 40  3 45 49 84 59 99 76 33 58 62 13
Card  11: 55 15 77 31 37 23  2 43 51 35 | 46 93 81 92 48 68 84 75 44 79 26 33 82 59 71 10 65 21 16 40 53 30 80 52 63
Card  12: 18 99 43 33 20 57 72 70 90 60 | 83  5 17  2 67 51 55 77  3 47 12 94 74 45 68 35 38 37 33 14 96 63 71 30 75
Card  13: 98 24 76 47  1 29 71 45 82 75 | 23  9 40 65 28  4 34 97 53 30 77 55 59 61 76 35 54 12  2 58 46 72 86  1 17
Card  14: 71 74 19 46 91 36 35 65 59 98 | 80 70 99 51 94 57 41 62 52 85  9  4  6 92  2 98 24 19 59 90 42 45 66 79 32
Card  15: 79 46 69 60 94 86 18 12 54 88 | 12 53 29 62 27 55 80 22 32 51 66 54 30 23 56 94 68 98 87 21 93 17 49 10 74
Card  16:  7 61 48 28 47  9 37 96 54 15 | 84 62 80 33 65  4 67 61 97 79 58 76 23 38 18 13 75 19 57 83 14 21 26 28 31
Card  17: 18 83 31 73 94 46 56 62 19 78 | 25 86 68 43 93 28 78 71 10 23 50 12 47 35 64 85  4 54 99 14 40 53 83  6 39
Card  18: 21 51 16 99 30 10 95 71 14 35 | 39 96 20  4 28 55 40 31 22 17 78 94 42 62 57 32 37  7 27 77 63 65 82 26 99
Card  19: 90 45 35 36 13  5 87 42 82 34 | 10 17 97 69 43 91 16 72 45 81 19 76 29  1 96 49 15 20 70 51 59 56 14 22 63
Card  20: 40 46 71 56  1 25 29 45 53 52 | 83 79  7 95 93 38 91 62 81 60 73 44 63 15 28 77 32 85 18 10 99 33  4 50  5
